"","Cell.type","source","PTPRC","EPCAM","PECAM1","PTPRC_group","EPCAM_group","PECAM1_group"
"1","Nonclassical Monocyte","normal",2.01981685810643,1.59795504238023,2.53027951889503,"PTPRC+","EPCAM+","PECAM1+"
"2","Natural Killer T","normal",2.11330707352264,1.16252593241034,2.41803714415911,"PTPRC+","EPCAM+","PECAM1+"
"3","Intermediate Monocyte","normal",2.00010849863574,2.05440583787224,2.22965327088035,"PTPRC+","EPCAM+","PECAM1+"
"4","CD8+ Naive T","normal",2.00486877496102,2.7010694995486,2.22010729913742,"PTPRC+","EPCAM+","PECAM1+"
"5","CD8+ Memory/Effector T","normal",2.06539139904671,1.08915321913789,2.17519970809406,"PTPRC+","EPCAM+","PECAM1+"
"6","Natural Killer","normal",1.75281763185393,0.901015216423781,1.85568281553579,"PTPRC+","EPCAM+","PECAM1+"
"7","Proliferating NK/T","normal",1.70358041766726,1.145635829085,1.80879857037844,"PTPRC+","EPCAM+","PECAM1+"
"8","CD4+ Memory/Effector T","normal",2.02325128861874,1.27176574823452,1.70245283765801,"PTPRC+","EPCAM+","PECAM1+"
"9","CD4+ Naive T","normal",1.44983097274577,1.24905911086837,1.34964004113871,"PTPRC+","EPCAM+","PECAM1+"
"10","Classical Monocyte","normal",1.58741036439731,1.40772718605014,1.0464875711372,"PTPRC+","EPCAM+","PECAM1+"
"11","Myeloid Dendritic Type 2","normal",1.35813567172625,1.1402469064514,1.00547358585558,"PTPRC+","EPCAM+","PECAM1+"
"12","OLR1+ Classical Monocyte","normal",1.47861177795022,0.965869213172582,0.684814048898075,"PTPRC+","EPCAM+","PECAM1+"
"13","Proliferating Macrophage","normal",1.12758737518919,1.99503559081706,0.853261968922182,"PTPRC+","EPCAM+","PECAM1+"
"14","EREG+ Dendritic","normal",1.35686838306166,0.864103642120833,0.589800847634772,"PTPRC+","EPCAM+","PECAM1+"
"15","TREM2+ Dendritic","normal",1.13437578573835,0.703501075784246,0.646321725189557,"PTPRC+","EPCAM+","PECAM1+"
"16","IGSF21+ Dendritic","normal",1.14302361090751,0.0075654892841654,0.535564738794019,"PTPRC+","EPCAM+","PECAM1+"
"17","Myeloid Dendritic Type 1","normal",1.22341027986696,0.233908381677967,0.284779439780935,"PTPRC+","EPCAM+","PECAM1+"
"18","Macrophage","normal",1.09010500815489,0.014083426251915,0.354117268845953,"PTPRC+","EPCAM+","PECAM1+"
"19","Basophil/Mast 2","normal",0.746297085429428,0.0135178885162509,0.508361206210666,"PTPRC+","EPCAM+","PECAM1+"
"20","B","normal",1.12601645034229,-1.0699125598994e-08,0.332697338131879,"PTPRC+","EPCAM-","PECAM1+"
"21","Plasmacytoid Dendritic","normal",0.86401237641904,0.00649374547041039,0.528374547212159,"PTPRC+","EPCAM+","PECAM1+"
"22","Basophil/Mast 1","normal",0.762696780976794,0.00173231883155469,0.245679105978851,"PTPRC+","EPCAM-","PECAM1+"
"23","Plasma","normal",0.347187978464989,0.00237051383730526,0.671615656399773,"PTPRC-","EPCAM-","PECAM1+"
"24","Platelet/Megakaryocyte","normal",0.411221654228418,2.41404982870435e-07,0.152312798250865,"PTPRC-","EPCAM-","PECAM1+"
"25","Mesothelial","normal",0.124009726963533,0.00239320795198635,0.139493018018599,"PTPRC-","EPCAM-","PECAM1+"
"26","Myofibroblast","normal",0.0333450686568379,-1.00351373699019e-06,0.153025209162462,"PTPRC-","EPCAM-","PECAM1+"
"27","Signaling Alveolar Epithelial Type 2","normal",0.00590334772889409,1.02961344261763e-09,0.074546872647871,"PTPRC-","EPCAM-","PECAM1-"
"28","Neuroendocrine","normal",0.0996047559282102,0.00942074622021537,0.0820910077619335,"PTPRC-","EPCAM+","PECAM1-"
"29","Adventitial Fibroblast","normal",0.0116587667617196,0.0236217505313492,0.059118977125609,"PTPRC-","EPCAM+","PECAM1-"
"30","Fibromyocyte","normal",0.0330347523259289,0.0117530339981374,0.128111292817884,"PTPRC-","EPCAM+","PECAM1+"
"31","Alveolar Fibroblast","normal",0.032153072887973,0.0258535166728792,0.116664805609988,"PTPRC-","EPCAM+","PECAM1+"
"32","Ciliated","normal",0.028953479428358,0.00495019985649278,0.0615538530704703,"PTPRC-","EPCAM+","PECAM1-"
"33","Lipofibroblast","normal",0.0372413850277494,0.0181160047948046,0.0374553981496283,"PTPRC-","EPCAM+","PECAM1-"
"34","Vascular Smooth Muscle","normal",0.0277165586344561,0.00317383524272759,0.0255473328274544,"PTPRC-","EPCAM-","PECAM1-"
"35","Airway Smooth Muscle","normal",0.0220329589838808,0.00320201903139757,0.107982692555231,"PTPRC-","EPCAM-","PECAM1+"
"36","Lymphatic","normal",-3.03370742815946e-07,0.00214085766797702,0.0603617700695928,"PTPRC-","EPCAM-","PECAM1-"
"37","Serous","normal",-1.5113528304335e-06,2.83214842735679e-06,0.0550497193744865,"PTPRC-","EPCAM-","PECAM1-"
"38","Pericyte","normal",0.0286322084117911,0.00750644475790625,0.0431238214371877,"PTPRC-","EPCAM+","PECAM1-"
"39","Alveolar Epithelial Type 2","normal",0.0202816942438081,0.0105683592164555,-3.20157437401879e-06,"PTPRC-","EPCAM+","PECAM1-"
"40","Bronchial Vessel 1","normal",2.41404982870435e-07,-3.03370742815946e-07,0.0304277946241786,"PTPRC-","EPCAM-","PECAM1-"
"41","Club","normal",0.0290430418426202,0.00322675873212333,0.0350611586527376,"PTPRC-","EPCAM-","PECAM1-"
"42","Alveolar Epithelial Type 1","normal",0.0241951202170093,0.0117696519674089,0.0618639122162072,"PTPRC-","EPCAM+","PECAM1-"
"43","Basal","normal",0.0301960086153155,0.00724211774728782,0.0594952878889732,"PTPRC-","EPCAM+","PECAM1-"
"44","Mucous","normal",0.0266183446405042,-1.96535035306725e-07,0.0621948410664575,"PTPRC-","EPCAM-","PECAM1-"
"45","Proliferating Basal","normal",0.00748862554387226,0.00507687947062268,0.0371195019896293,"PTPRC-","EPCAM+","PECAM1-"
"46","Proximal Ciliated","normal",0.00679752115248671,-1.03550335303979e-06,0.0390498928162427,"PTPRC-","EPCAM-","PECAM1-"
"47","Goblet","normal",0.00625619100780486,0.00578551662793416,0.0231704762544755,"PTPRC-","EPCAM+","PECAM1-"
"48","Differentiating Basal","normal",0.0077730112783458,2.21806920298424e-06,0.0207387606511962,"PTPRC-","EPCAM-","PECAM1-"
"49","Artery","normal",-1.06960415401248e-07,0.00228667805691542,0.0627752226690136,"PTPRC-","EPCAM-","PECAM1-"
"50","Ionocyte","normal",0.0923845232022514,-1.06960415401248e-07,0.0165073681254572,"PTPRC-","EPCAM-","PECAM1-"
